"Perioden";"Wijken en buurten";"Regiocode (gemeente, wijk, buurt) (code)";"Particuliere huishoudens (Aantal)";"Opleidingsniveau/Laag/Waarde (%)";"Opleidingsniveau/Middelbaar/Waarde (%)";"Opleidingsniveau/Hoog/Waarde (%)";"SES-WOA/Totaalscore/Gemiddelde score (Getal)"
"2019";"Noordwestkwadrant Indische buurt Zuid";"BU03633101";"    2600";"    20.7";"    25.0";"    54.3";"  -0.147"
"2019";"Zuidwestkwadrant Indische buurt";"BU03633102";"    2000";"    35.2";"    27.6";"    37.2";"  -0.457"
"2019";"Indische Buurt Oost";"WK036332  ";"    5200";"    29.7";"    27.8";"    42.5";"  -0.324"
"2019";"Noordoostkwadrant Indische buurt";"BU03633200";"    3200";"    30.8";"    28.9";"    40.3";"  -0.370"
"2019";"Zuidoostkwadrant Indische buurt";"BU03633201";"    1800";"    29.7";"    27.0";"    43.3";"  -0.323"
"2019";"Zeeburgerdijk Oost";"BU03633202";"     200";"    15.0";"    18.3";"    66.7";"   0.333"
"2019";"Flevopark";"BU03633203";"       0";"       .";"       .";"       .";"       ."
"2019";"Oostelijk Havengebied";"WK036333  ";"    9400";"    11.5";"    22.3";"    66.2";"   0.295"
"2019";"Oostelijke Handelskade";"BU03633300";"     800";"    10.0";"    20.3";"    69.7";"   0.365"
"2019";"Rietlanden";"BU03633301";"    1300";"    12.6";"    22.6";"    64.8";"   0.256"
"2019";"Java-eiland";"BU03633302";"    1600";"     9.2";"    20.0";"    70.8";"   0.419"
"2019";"KNSM-eiland";"BU03633303";"    1400";"    11.2";"    25.6";"    63.2";"   0.275"
"2019";"Sporenburg";"BU03633304";"    1100";"     6.9";"    17.7";"    75.5";"   0.511"
"2019";"Borneo";"BU03633305";"    1200";"     9.0";"    19.2";"    71.8";"   0.380"
"2019";"Entrepot-Noordwest";"BU03633306";"     800";"    20.2";"    28.7";"    51.1";"  -0.016"
"2019";"Architectenbuurt";"BU03633307";"    1000";"    17.6";"    25.3";"    57.1";"   0.083"
"2019";"Bedrijvengebied Veelaan";"BU03633308";"       0";"       .";"       .";"       .";"       ."
"2019";"Bedrijvengebied Cruquiusweg";"BU03633309";"     300";"     8.3";"    22.0";"    69.7";"   0.142"
"2019";"Bedrijvengebied Zeeburgerkade";"BU03633310";"     100";"       .";"       .";"       .";"       ."
"2019";"Zeeburgereiland/Nieuwe Diep";"WK036334  ";"    2200";"     8.5";"    37.9";"    53.6";"  -0.221"
"2019";"Zeeburgereiland Noordwest";"BU03633400";"       0";"       .";"       .";"       .";"       ."
"2019";"Zeeburgereiland Zuidoost";"BU03633402";"     400";"     2.6";"    67.4";"    30.0";"  -0.954"
"2019";"Zeeburgereiland Zuidwest";"BU03633403";"     200";"     6.2";"    48.8";"    45.0";"  -0.684"
"2019";"Nieuwe Diep/Diemerpark";"BU03633404";"       0";"       .";"       .";"       .";"       ."
"2019";"RI Oost terrein";"BU03633405";"    1500";"     9.9";"    29.5";"    60.6";"   0.011"
"2019";"Zeeburgereiland Noordoost";"BU03633406";"       0";"       .";"       .";"       .";"       ."
"2019";"IJburg West";"WK036335  ";"    6100";"    14.6";"    24.3";"    61.1";"   0.224"
"2019";"Steigereiland Noord";"BU03633500";"     700";"    14.3";"    26.3";"    59.3";"   0.154"
"2019";"Steigereiland Zuid";"BU03633501";"     900";"    14.8";"    21.6";"    63.6";"   0.298"
"2019";"Haveneiland Zuidwest/Rieteiland West";"BU03633502";"    1000";"     6.7";"    17.6";"    75.6";"   0.602"
"2019";"Haveneiland Noordwest";"BU03633504";"    1400";"    17.5";"    27.1";"    55.4";"   0.020"
"2019";"Haveneiland Noordoost";"BU03633505";"    2200";"    16.3";"    26.1";"    57.6";"   0.176"
"2019";"Sloterdijk";"WK036336  ";"     300";"    12.9";"    21.3";"    65.8";"   0.118"
